Treatment,target,differentia,policy,condition,score,dist_fun,Tree Comparison Metric,Num Column Bits,Num Differentia Bits
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,ecoea,0.91965543,cid,Clustering Information Distance,64,64
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,sharing,0.74538968,cid,Clustering Information Distance,64,64
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,tournament,1.0,cid,Clustering Information Distance,64,64
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,lexicase,0.58095457,cid,Clustering Information Distance,64,64
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,random,0.29271759,rf,Generalized Robinson-Foulds Similarity,64,64
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,ecoea,0.07270782,rf,Generalized Robinson-Foulds Similarity,64,64
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,sharing,0.25892199,rf,Generalized Robinson-Foulds Similarity,64,64
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,tournament,0.0,rf,Generalized Robinson-Foulds Similarity,64,64
differentia=64+policy=TaperedDepthProportionalResolution+target=64,64,64,TDPR,lexicase,0.52913068,rf,Generalized Robinson-Foulds Similarity,64,64
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,random,0.55033495,info,Mutual Clustering Information,4096,8
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,ecoea,0.77923387,info,Mutual Clustering Information,4096,8
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,sharing,0.80361689,info,Mutual Clustering Information,4096,8
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,tournament,,info,Mutual Clustering Information,4096,8
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,lexicase,0.55516873,info,Mutual Clustering Information,4096,8
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,random,0.48702856,cid,Clustering Information Distance,4096,8
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,ecoea,0.87205268,cid,Clustering Information Distance,4096,8
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,sharing,0.3265691,cid,Clustering Information Distance,4096,8
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,tournament,1.0,cid,Clustering Information Distance,4096,8
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,lexicase,0.47469575,cid,Clustering Information Distance,4096,8
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,random,0.55569694,rf,Generalized Robinson-Foulds Similarity,4096,8
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,ecoea,0.12705271,rf,Generalized Robinson-Foulds Similarity,4096,8
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,sharing,0.64111808,rf,Generalized Robinson-Foulds Similarity,4096,8
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,tournament,0.0,rf,Generalized Robinson-Foulds Similarity,4096,8
differentia=8+policy=RecencyProportionalResolution+target=4096,4096,8,RPR,lexicase,0.61132479,rf,Generalized Robinson-Foulds Similarity,4096,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,random,0.55033495,info,Mutual Clustering Information,512,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,ecoea,0.77699572,info,Mutual Clustering Information,512,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,sharing,0.80361689,info,Mutual Clustering Information,512,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,tournament,,info,Mutual Clustering Information,512,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,lexicase,0.53758344,info,Mutual Clustering Information,512,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,random,0.48702856,cid,Clustering Information Distance,512,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,ecoea,0.86851389,cid,Clustering Information Distance,512,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,sharing,0.3265691,cid,Clustering Information Distance,512,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,tournament,1.0,cid,Clustering Information Distance,512,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,lexicase,0.48910738,cid,Clustering Information Distance,512,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,random,0.55569694,rf,Generalized Robinson-Foulds Similarity,512,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,ecoea,0.12522623,rf,Generalized Robinson-Foulds Similarity,512,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,sharing,0.64111808,rf,Generalized Robinson-Foulds Similarity,512,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,tournament,0.0,rf,Generalized Robinson-Foulds Similarity,512,8
differentia=8+policy=RecencyProportionalResolution+target=512,512,8,RPR,lexicase,0.58632479,rf,Generalized Robinson-Foulds Similarity,512,8
differentia=8+policy=RecencyProportionalResolution+target=64,64,8,RPR,random,0.5767782,info,Mutual Clustering Information,64,8
